 Березанський лиман																															
Вид лоту	Кількість лотів	ДОГОВІР			Дозвіл		% від загального ліміту	Загальний обсяг лімітованих і прогнозних видів водного біоресурсу	Види водних біоресурсів, які включені до договору									Знаряддя лову, які включені до договору											Ідентифікаційні номера бирок	Кількість риболовних суден	Назва судна/Бортовий номер судна
									Глось Platichthys flesus	Бички (крім видів, занесених до Червоної книги України) Gobiidae	Судак звичайний Sander lucioperca	Сингіль Liza aurata	Лобань Mugil cephalus	Гостроніс Liza saliens	Креветка Caridea	Піленгас Liza haematocheilus	Атерина піщана Atherina boyeri	Ятір (крок вічка 18мм)	Ятір (крок вічка 30 – 40 мм)	Закидний невід (волок) (крок вічка у матні 6 мм, приводах 6 мм, крилах – 6 мм)	Закидний невід (волок) (крок вічка в матні 18 мм, приводах 20 мм, крилах – 22 мм)	Бурило (крок вічка в матні – 18 мм, у приводах – 20 мм, у крилах – 22 мм)	Сітка (крок вічка від 22 мм до 28 мм)	Сітка (крок вічка від 45 мм до 70 мм)	Закидний невід (волок) (крок вічка в матні 20 мм, приводах 22 мм, крилах – 22 мм)	Сітка (крок вічка від 50 мм до 70 мм)	Закидний невід (волок) (крок вічка в матні 8 мм, приводах 6 мм, крилах – 6 мм)	Ставний невід (крок вічка у котлі 6 мм, дворі 10 та крилах 14 мм)			
		Номер договору	Переможець	Дата опублікування договору в електронній системі																											
					Дата	Номер																									
MIN	1	BER1MIN2024	ФЕРМЕРСЬКЕ ГОСПОДАРСТВО "ГРИН ПАРК" ВІДОКРЕМЛЕНА САДИБА, ЄДРПОУ: 39439949	15.03.2024	5/22/2024	ДД-48/3	12,50	15,646	0,059	0,594	0,891	2,256	0,282	0,282	5,344	0,594	5,344	20	8	1	0	1	20	20	1	5	0	5		2	ЯОД 3013
	1	BER2MIN2024	ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ "АФОЛІНА", ЄДРПОУ: 31772172	15.03.2024	6/18/2024	ДД-53/3	12,50	15,646	0,059	0,594	0,891	2,256	0,282	0,282	5,344	0,594	5,344	20	8	0	1	0	20	20	1	5	1	5		2	ЯМК 0239
	1	BER3MIN2024	ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ "МЕРЛАНГ", ЄДРПОУ: 45119364	18.03.2024	5/24/2024	ДД-49/3	12,50	15,646	0,059	0,594	0,891	2,256	0,282	0,282	5,344	0,594	5,344	20	8	1	0	1	20	20	1	5	0	5		2	ЯМК 0293 ЯОД 7028
	1	BER4MIN2024	Приватне підприємство "Берег", ЄДРПОУ: 31299148	18.03.2024	3/28/2024	ДД-31/3	12,50	15,646	0,059	0,594	0,891	2,256	0,282	0,282	5,344	0,594	5,344	20	8	0	1	0	20	20	1	5	1	5		2	ЯМК 0108 ЯМК 0105
	1	BER5MIN2024	Приватне Підприємство "Громовий О.М.", ЄДРПОУ: 32895467	18.03.2024	4/18/2024	ДД-40/3	12,50	15,646	0,059	0,594	0,891	2,256	0,282	0,282	5,344	0,594	5,344	20	8	1	0	1	20	20	1	5	0	5		2	ЯДО 0572 ЯЗП 2681М
	1	BER6MIN2024	Фізична особа-підприємець Воскобойник Ігор Власович	18.03.2024	4/11/2024	ДД-38/3	12,50	15,646	0,059	0,594	0,891	2,256	0,282	0,282	5,344	0,594	5,344	20	8	0	1	0	20	20	1	5	1	5		2	ЯОД 2591 ЯОД 2593
	1	BER7MIN2024	ПРИВАТНЕ ПІДПРИЄМСТВО "РИБОЛОВНЕ ПІДПРИЄМСТВО ВИРІШАЛЬНИЙ", ЄДРПОУ: 32143995	18.03.2024	3/28/2024	ДД-29/3	12,50	15,646	0,059	0,594	0,891	2,256	0,282	0,282	5,344	0,594	5,344	20	8	1	0	1	20	20	1	5	0	5		2	ЯМК 5068 ЯОД 0164
	1	BER8MIN2024	ПРИВАТНЕ ПІДПРИЄМСТВО ІМ. ЛЕЙТЕНАНТА ШМІДТА, ЄДРПОУ: 00466879	18.03.2024	3/28/2024	ДД-30/3	12,50	15,642	0,062	0,592	0,888	2,258	0,283	0,283	5,342	0,592	5,342	20	8	0	1	0	20	20	1	5	1	5		2	ЯОД 2559 ЯДО 0637
 Всього	  8 						  100 	  125,164 	  0,475 	  4,750 	  7,125 	  18,050 	  2,257 	  2,257 	  42,750 	  4,750 	  42,750 	  160 	  64 	  4 	  4 	  4 	  160 	  160 	  8 	  40 	  4 	  40 		  16 	